competir com alguém,mit jemandem wettkämpfen,eu,Presente,Indicativo,compito
competir com alguém,mit jemandem wettkämpfen,ele/ela/você,Presente,Indicativo,compete
competir com alguém,mit jemandem wettkämpfen,nós,Presente,Indicativo,competimos
competir com alguém,mit jemandem wettkämpfen,eles/elas/vocês,Presente,Indicativo,competem
competir com alguém,mit jemandem wettkämpfen,eu,Pretérito Perfeito,Indicativo,competi
competir com alguém,mit jemandem wettkämpfen,ele/ela/você,Pretérito Perfeito,Indicativo,competiu
competir com alguém,mit jemandem wettkämpfen,nós,Pretérito Perfeito,Indicativo,competimos
competir com alguém,mit jemandem wettkämpfen,eles/elas/vocês,Pretérito Perfeito,Indicativo,competiram
competir com alguém,mit jemandem wettkämpfen,eu,Futuro do Pretérito Simples,Condicional,competiria
competir com alguém,mit jemandem wettkämpfen,ele/ela/você,Futuro do Pretérito Simples,Condicional,competiria
competir com alguém,mit jemandem wettkämpfen,nós,Futuro do Pretérito Simples,Condicional,competiríamos
competir com alguém,mit jemandem wettkämpfen,eles/elas/vocês,Futuro do Pretérito Simples,Condicional,competiriam
